Log: /scratch2/09796/shuyuanfan4814/carbon/out/frontera-scaling.7953063.20260924T082552Z.vBdJPu
Slurm job: 7953063
Host: c209-003.frontera.tacc.utexas.edu
ASSUMED scaling profile: medium/e050; efficiency32/4=50%; T16=22.6h; seed=11; rho=1.0
Fixed source: /scratch2/09796/shuyuanfan4814/carbon/results/scaling-v2-medium-e050-frontera-c84-fixed-max48
PPO output: /scratch2/09796/shuyuanfan4814/carbon/results/scaling-v2-medium-e050-frontera-c84-max48-weighted-seed11
Fixed requests 48h; dynamic requests rounded planned duration. All returned curves must disclose both rules.
frontera-train-0061 Fixed-4: completed, chunks=2
frontera-train-0061 Fixed-8: completed, chunks=1
frontera-train-0061 Fixed-16: completed, chunks=1
frontera-train-0061 Fixed-32: completed, chunks=1
frontera-train-0062 Fixed-4: completed, chunks=2
frontera-train-0062 Fixed-8: completed, chunks=1
frontera-train-0062 Fixed-16: completed, chunks=1
frontera-train-0062 Fixed-32: completed, chunks=1
frontera-train-0063 Fixed-4: completed, chunks=2
frontera-train-0063 Fixed-8: completed, chunks=1
frontera-train-0063 Fixed-16: completed, chunks=1
frontera-train-0063 Fixed-32: completed, chunks=1
frontera-train-0064 Fixed-4: completed, chunks=2
frontera-train-0064 Fixed-8: completed, chunks=1
frontera-train-0064 Fixed-16: completed, chunks=1
frontera-train-0064 Fixed-32: completed, chunks=1
frontera-train-0065 Fixed-4: completed, chunks=2
frontera-train-0065 Fixed-8: completed, chunks=1
frontera-train-0065 Fixed-16: completed, chunks=1
frontera-train-0065 Fixed-32: completed, chunks=1
frontera-train-0066 Fixed-4: completed, chunks=2
frontera-train-0066 Fixed-8: completed, chunks=1
frontera-train-0066 Fixed-16: completed, chunks=1
frontera-train-0066 Fixed-32: completed, chunks=1
frontera-train-0067 Fixed-4: completed, chunks=2
frontera-train-0067 Fixed-8: completed, chunks=1
frontera-train-0067 Fixed-16: completed, chunks=1
frontera-train-0067 Fixed-32: completed, chunks=1
frontera-train-0068 Fixed-4: completed, chunks=2
frontera-train-0068 Fixed-8: completed, chunks=1
frontera-train-0068 Fixed-16: completed, chunks=1
frontera-train-0068 Fixed-32: completed, chunks=1
frontera-train-0069 Fixed-4: completed, chunks=2
frontera-train-0069 Fixed-8: completed, chunks=1
frontera-train-0069 Fixed-16: completed, chunks=1
frontera-train-0069 Fixed-32: completed, chunks=1
frontera-train-0070 Fixed-4: completed, chunks=2
frontera-train-0070 Fixed-8: completed, chunks=1
frontera-train-0070 Fixed-16: completed, chunks=1
frontera-train-0070 Fixed-32: completed, chunks=1
frontera-train-0071 Fixed-4: completed, chunks=2
frontera-train-0071 Fixed-8: completed, chunks=1
frontera-train-0071 Fixed-16: completed, chunks=1
